"","NAMES","YEAR","CATCH"
"1","ALASKA SKATE",2003,17466.4076197005
"2","ALEUTIAN SKATE",2003,1158.36818918294
"3","BERING SKATE",2003,1065.49325906372
"4","BIG SKATE",2003,271.672157627865
"5","COMMANDER SKATE",2003,75.6932522065541
"6","LONGNOSE SKATE",2003,13.024583592156
"7","MUD SKATE",2003,23.3478974500464
"8","OKHOTSK SKATE",2003,7.32035402362802
"9","ROUGHTAIL SKATE",2003,7.49455871136055
"10","SKATE EGG CASE UNIDENTIFIED",2003,43.4822300057957
"11","STARRY SKATE",2003,1.26505715542363e-10
"12","WHITEBLOTCHED SKATE",2003,126.973216012842
"13","WHITEBROW SKATE",2003,11.1036824224914
"14","ALASKA SKATE",2004,16523.1885566553
"15","ALEUTIAN SKATE",2004,1123.45490034208
"16","BERING SKATE",2004,1301.27763023037
"17","BIG SKATE",2004,857.916448413655
"18","COMMANDER SKATE",2004,81.0867072487255
"19","DEEPSEA SKATE",2004,0.108141843041252
"20","LONGNOSE SKATE",2004,112.089945085994
"21","MUD SKATE",2004,86.6054646269493
"22","OKHOTSK SKATE",2004,0.17169464340775
"23","ROUGHTAIL SKATE",2004,20.5856740103919
"24","SANDPAPER SKATE",2004,0.100197216824487
"25","SKATE EGG CASE UNIDENTIFIED",2004,6.22354863445405
"26","WHITEBLOTCHED SKATE",2004,534.59260104698
"27","WHITEBROW SKATE",2004,25.7304900018995
"28","ALASKA SKATE",2005,17580.3466591178
"29","ALEUTIAN SKATE",2005,1095.11259191168
"30","BERING SKATE",2005,1122.15924450024
"31","BIG SKATE",2005,1156.5463175775
"32","BUTTERFLY SKATE",2005,0.0250339972071701
"33","COMMANDER SKATE",2005,129.215565515211
"34","LONGNOSE SKATE",2005,36.7394438023256
"35","MUD SKATE",2005,51.9334703075054
"36","OKHOTSK SKATE",2005,1.76331069551315e-08
"37","ROUGHTAIL SKATE",2005,6.16984480114255
"38","SKATE EGG CASE UNIDENTIFIED",2005,16.8149164917213
"39","STARRY SKATE",2005,1.69517658826766e-08
"40","WHITEBLOTCHED SKATE",2005,310.166109009279
"41","WHITEBROW SKATE",2005,33.2998029338221
"42","ALASKA SKATE",2006,16046.5317507456
"43","ALEUTIAN SKATE",2006,630.122527848352
"44","BERING SKATE",2006,674.189056876107
"45","BIG SKATE",2006,1245.53383165238
"46","BUTTERFLY SKATE",2006,1.05621332453086e-07
"47","COMMANDER SKATE",2006,86.3728500409348
"48","DEEPSEA SKATE",2006,6.69928538922065e-05
"49","LONGNOSE SKATE",2006,28.6945906192806
"50","MUD SKATE",2006,16.211405047471
"51","OKHOTSK SKATE",2006,1.03705052749424e-07
"52","ROUGHTAIL SKATE",2006,26.7433684369244
"53","SANDPAPER SKATE",2006,4.66511987343066e-10
"54","SKATE EGG CASE UNIDENTIFIED",2006,1.11375151710636
"55","STARRY SKATE",2006,0.00625570307596419
"56","WHITEBLOTCHED SKATE",2006,324.547353728896
"57","WHITEBROW SKATE",2006,14.0431905813178
"58","ALASKA SKATE",2007,14978.8069831972
"59","ALEUTIAN SKATE",2007,951.495014646041
"60","BERING SKATE",2007,699.631104204025
"61","BIG SKATE",2007,568.418241587544
"62","BUTTERFLY SKATE",2007,2.01475044127214
"63","COMMANDER SKATE",2007,158.045274323686
"64","LONGNOSE SKATE",2007,6.185515447446
"65","MUD SKATE",2007,42.7754327667081
"66","ROUGHTAIL SKATE",2007,10.3351064972423
"67","SKATE EGG CASE UNIDENTIFIED",2007,3.19280076857521
"68","WHITEBLOTCHED SKATE",2007,259.121447300873
"69","WHITEBROW SKATE",2007,11.3753288193746
"70","ALASKA SKATE",2008,14854.8613396186
"71","ALEUTIAN SKATE",2008,1236.88012188609
"72","BERING SKATE",2008,2121.68959034644
"73","BIG SKATE",2008,385.47372612009
"74","COMMANDER SKATE",2008,101.435307934346
"75","LONGNOSE SKATE",2008,54.4163237540686
"76","MUD SKATE",2008,129.724429330049
"77","ROUGHTAIL SKATE",2008,10.6222162616919
"78","SKATE EGG CASE UNIDENTIFIED",2008,11.71013182933
"79","WHITEBLOTCHED SKATE",2008,1245.93588090489
"80","WHITEBROW SKATE",2008,14.7619320144599
"81","ALASKA SKATE",2009,15448.4810866335
"82","ALEUTIAN SKATE",2009,1058.62616938794
"83","BERING SKATE",2009,1465.12057706375
"84","BIG SKATE",2009,429.432968201099
"85","BUTTERFLY SKATE",2009,0.138673104452586
"86","COMMANDER SKATE",2009,149.644237629249
"87","DEEPSEA SKATE",2009,0.168529061744603
"88","LONGNOSE SKATE",2009,3.77499302291157
"89","MUD SKATE",2009,85.2877761618269
"90","ROUGHTAIL SKATE",2009,5.95774533948266
"91","SKATE EGG CASE UNIDENTIFIED",2009,3.50821106641523
"92","WHITEBLOTCHED SKATE",2009,341.099064252049
"93","WHITEBROW SKATE",2009,16.781969075557
"94","ALASKA SKATE",2010,13191.092786751
"95","ALEUTIAN SKATE",2010,977.788441227984
"96","BERING SKATE",2010,1441.02412285609
"97","BIG SKATE",2010,734.925735187375
"98","BUTTERFLY SKATE",2010,0.108363230320051
"99","COMMANDER SKATE",2010,129.781417517976
"100","DEEPSEA SKATE",2010,0.000112496742971183
"101","LONGNOSE SKATE",2010,17.6690915502633
"102","MUD SKATE",2010,128.871139492525
"103","OKHOTSK SKATE",2010,4.59547142118379e-06
"104","ROUGHTAIL SKATE",2010,14.0348278794322
"105","SANDPAPER SKATE",2010,7.12597060666534e-08
"106","SKATE EGG CASE UNIDENTIFIED",2010,4.65981843698798
"107","STARRY SKATE",2010,2.33769911750733e-08
"108","WHITEBLOTCHED SKATE",2010,407.923548029254
"109","WHITEBROW SKATE",2010,17.9660905562757
"110","ALASKA SKATE",2011,18101.7726657994
"111","ALEUTIAN SKATE",2011,1134.40896943702
"112","BERING SKATE",2011,1714.57961340113
"113","BIG SKATE",2011,526.066650924889
"114","BUTTERFLY SKATE",2011,0.134240523382847
"115","COMMANDER SKATE",2011,284.861241652706
"116","DEEPSEA SKATE",2011,0.000228576987893484
"117","LONGNOSE SKATE",2011,22.5399303171591
"118","MUD SKATE",2011,130.323057197589
"119","ROUGHTAIL SKATE",2011,6.64334068690971
"120","SKATE EGG CASE UNIDENTIFIED",2011,7.41938715709441
"121","WHITEBLOTCHED SKATE",2011,934.434945327685
"122","WHITEBROW SKATE",2011,34.0071537962406
"123","ALASKA SKATE",2012,18737.7204252785
"124","ALEUTIAN SKATE",2012,1340.82180444154
"125","BERING SKATE",2012,1630.80167678999
"126","BIG SKATE",2012,949.434836764312
"127","BUTTERFLY SKATE",2012,1.49652859147461e-07
"128","COMMANDER SKATE",2012,144.084821068051
"129","DEEPSEA SKATE",2012,7.56569290530937e-09
"130","LONGNOSE SKATE",2012,16.0377933187754
"131","MUD SKATE",2012,79.7446186161607
"132","OKHOTSK SKATE",2012,1.05457656918987e-07
"133","ROUGHTAIL SKATE",2012,8.95749244464106
"134","SKATE EGG CASE UNIDENTIFIED",2012,9.9820335863054
"135","STARRY SKATE",2012,8.85540008796541e-10
"136","WHITEBLOTCHED SKATE",2012,660.981276377256
"137","WHITEBROW SKATE",2012,23.9471146864468
"138","ALASKA SKATE",2013,21269.1086495508
"139","ALEUTIAN SKATE",2013,848.661772689882
"140","BERING SKATE",2013,1547.21578260373
"141","BIG SKATE",2013,1221.56555987996
"142","COMMANDER SKATE",2013,175.135874179835
"143","LONGNOSE SKATE",2013,23.6017470387794
"144","MUD SKATE",2013,43.3343290333152
"145","ROUGHTAIL SKATE",2013,5.30710975516868
"146","SKATE EGG CASE UNIDENTIFIED",2013,8.58482577635113
"147","WHITEBLOTCHED SKATE",2013,701.402099237148
"148","WHITEBROW SKATE",2013,7.74525983178875
"149","ALASKA SKATE",2014,20383.2344679932
"150","ALEUTIAN SKATE",2014,1216.88634231228
"151","BERING SKATE",2014,2049.22421082269
"152","BIG SKATE",2014,1228.11637910474
"153","BUTTERFLY SKATE",2014,2.0010130427369e-08
"154","COMMANDER SKATE",2014,206.272447748396
"155","DEEPSEA SKATE",2014,7.11239162294752e-10
"156","LONGNOSE SKATE",2014,46.3724893989124
"157","MUD SKATE",2014,30.550594111756
"158","OKHOTSK SKATE",2014,1.39776112591976e-08
"159","ROUGHTAIL SKATE",2014,3.15581862601306
"160","SKATE EGG CASE UNIDENTIFIED",2014,14.5125196947633
"161","WHITEBLOTCHED SKATE",2014,984.614889365826
"162","WHITEBROW SKATE",2014,27.2016690652942
"163","ALASKA SKATE",2015,20517.1696403801
"164","ALEUTIAN SKATE",2015,1307.99139689832
"165","BERING SKATE",2015,2848.61162582742
"166","BIG SKATE",2015,1046.13158967393
"167","COMMANDER SKATE",2015,153.893797385369
"168","LONGNOSE SKATE",2015,36.2066486989947
"169","MUD SKATE",2015,59.7314598605047
"170","ROUGHTAIL SKATE",2015,4.08015568255645
"171","SKATE EGG CASE UNIDENTIFIED",2015,18.0125218293921
"172","WHITEBLOTCHED SKATE",2015,985.894120665146
"173","WHITEBROW SKATE",2015,11.2468304137519
"174","ALASKA SKATE",2016,22051.0252131501
"175","ALEUTIAN SKATE",2016,993.127952066589
